FID,REPORTDATE,BLOCKADD,OFFENSE
9494,2014-08-31 00:00:00,900 Block 15th St,Theft From Vehicle
9495,2014-08-15 00:00:00,28th St & Arapahoe Ave,Vandalism
9496,2014-08-15 00:00:00,1300 Block Arapahoe Ave,Indecency
9497,2014-08-17 00:00:00,3100 Block 25th St,Assault
9498,2014-08-15 00:00:00,00 Block S Boulder Cir,Motorcycle Theft
9499,2014-08-15 00:00:00,1300 Block 28th St,Indecent Exposure
9500,2014-08-16 00:00:00,700 Block 20th St,Vandalism
9501,2014-08-16 00:00:00,1000 Block Pearl St,Trespassing
9502,2014-08-15 00:00:00,200 Block Arapahoe Ave,Theft From Vehicle
9503,2014-08-16 00:00:00,2500 Block Taft Dr,Incident
9504,2014-08-26 00:00:00,Broadway & Front Range Dr,Incident
9505,2014-08-26 00:00:00,1600 Block 29th St,Robbery
9506,2014-08-26 00:00:00,1700 Block 14th St,Trespassing
9507,2014-08-26 00:00:00,2000 Block Broadway,Trespassing
9508,2014-08-27 00:00:00,1100 Block 12th St,Burglary
9509,2014-08-26 00:00:00,29th St & Arapahoe Ave,Incident
9510,2014-08-26 00:00:00,1000 Block Adams Cir,Trespassing
9511,2014-08-20 00:00:00,1000 Block 12th St,Vandalism
9512,2014-08-20 00:00:00,1500 Block Grove St,Vandalism
9513,2014-08-20 00:00:00,1500 Block 55th St,Incident
9514,2014-08-20 00:00:00,3000 Block Pearl Py,Incident
9515,2014-08-21 00:00:00,1500 Block 11th St,Vandalism
9516,2017-08-24 00:00:00,600 Block Laramie Blvd,Assault
9517,2014-08-22 00:00:00,1100 Block 28th St,Theft From Vehicle
9518,2014-08-22 00:00:00,1600 Block Dellwood Ave,Vandalism
9519,2014-08-22 00:00:00,900 Block 14th St,Burglary
9520,2014-08-23 00:00:00,800 Block Pearl St,Assault
9521,2014-08-23 00:00:00,4300 Block Whitney Pl,Burglary
9522,2014-08-23 00:00:00,10th St & College Ave,Assault
9523,2014-08-24 00:00:00,2900 Block Canyon Blvd,Trespassing
9524,2014-08-24 00:00:00,700 Block 15th St,Theft From Vehicle
9525,2014-08-24 00:00:00,20th St & Pearl St,Auto Theft
9526,2014-08-24 00:00:00,2800 Block Broadway,Burglary
9527,2014-08-24 00:00:00,4500 Block 19th St,Vandalism
9528,2014-08-24 00:00:00,5th St & Maxwell Ave,Vandalism
9529,2014-08-25 00:00:00,00 Block S Boulder Cir,Vandalism
9530,2014-08-28 00:00:00,2200 Block 14th St,Incident
9531,2014-08-23 00:00:00,3300 Block Longwood Ave,Burglary
9532,2014-08-29 00:00:00,33rd St & Fisher Dr,Sex Assault
9533,2014-08-28 00:00:00,800 Block 34th St,Incident
9534,2014-08-28 00:00:00,6300 Block Gunpark Dr,Theft From Vehicle
9535,2014-08-29 00:00:00,1100 Block University Ave,Trespassing
9536,2014-08-29 00:00:00,1400 Block Spruce St,Trespassing
9537,2014-09-02 00:00:00,2900 Block Mapleton Ave,Incident
9538,2014-09-09 00:00:00,3300 Block 28th St,Vandalism
9539,2014-09-08 00:00:00,1100 Block Marine St,Vandalism
9540,2014-09-09 00:00:00,12th St & College Ave,Robbery
9541,2014-09-09 00:00:00,1700 Block 15th St,Vandalism
9542,2014-09-09 00:00:00,1400 Block Spruce St,Trespassing
9543,2014-09-09 00:00:00,4800 Block Baseline Rd,Sex Assault
9544,2014-08-21 00:00:00,Baylor Dr & Yale Rd,Vandalism
9545,2014-08-15 00:00:00,1100 Block 11th St,Burglary
9546,2014-08-23 00:00:00,3300 Block Airport Rd,Incident
9547,2014-08-22 00:00:00,6700 Block Lookout Rd,Burglary
9548,2014-08-21 00:00:00,1000 Block 13th St,Vandalism
9549,2014-08-22 00:00:00,1000 Block 6th St,Theft From Vehicle
9550,2014-08-22 00:00:00,13th St & Euclid Ave,Assault
9551,2014-08-22 00:00:00,4500 Block 19th St,Trespassing
9552,2014-08-25 00:00:00,2000 Block Arapahoe Ave,Burglary
9553,2013-06-29 00:00:00,1200 Block Pearl St,Trespassing
9554,2013-06-29 00:00:00,1400 Block Walnut St,Assault
9555,2013-06-30 00:00:00,700 Block S 44th St,Theft From Vehicle
9556,2013-06-24 00:00:00,3000 Block 23rd St,Theft From Vehicle
9557,2013-06-24 00:00:00,4800 Block Broadway,Assault
9558,2013-06-24 00:00:00,4100 Block 47th St,Incident
9559,2013-06-25 00:00:00,1000 Block Canyon Blvd,Assault
9560,2013-06-26 00:00:00,Furman Way & Table Mesa Dr,Incident
9561,2013-06-25 00:00:00,3700 Block Baseline Rd,Vandalism
9562,2013-06-25 00:00:00,900 Block Baseline Rd,Trespassing
9563,2013-06-25 00:00:00,4900 Block Table Mesa Dr,Assault
9564,2013-06-25 00:00:00,1300 Block Marshall St,Theft From Vehicle
9565,2013-06-26 00:00:00,1000 Block 14th St,Burglary
9566,2013-06-26 00:00:00,1300 Block Folsom St,Burglary
9567,2013-06-26 00:00:00,15th St & Pearl St,Assault
9568,2013-06-27 00:00:00,4500 Block 19th St,Burglary
9569,2017-11-24 00:00:00,2300 Block Goss St,Trespassing
9570,2013-06-27 00:00:00,Crime occurred at an unknown location,Incident
9571,2013-06-27 00:00:00,900 Block North St,Vandalism
9572,2013-06-30 00:00:00,2900 Block Pearl St,Trespassing
9573,2013-07-01 00:00:00,1700 Block 14th St,Trespassing
9574,2013-07-01 00:00:00,500 Block S 45th St,Theft From Vehicle
9575,2013-07-01 00:00:00,1700 Block 14th St,Trespassing
9576,2013-07-10 00:00:00,1100 Block 13th St,Vandalism
9577,2013-07-01 00:00:00,2100 Block 19th St,Burglary
9578,2013-07-02 00:00:00,2800 Block 7th St,Theft From Vehicle
9579,2013-07-02 00:00:00,1900 Block Arapahoe Ave,Assault
9580,2017-08-09 00:00:00,4700 Block Table Mesa Dr,Trespassing
9581,2013-07-02 00:00:00,2200 Block Walnut St,Burglary
9582,2013-07-02 00:00:00,1100 Block Pearl St,Theft From Vehicle
9583,2013-06-28 00:00:00,1000 Block 14th St,Vandalism
9584,2013-06-30 00:00:00,2900 Block Pearl St,Auto Theft
9585,2013-06-30 00:00:00,1000 Block 13th St,Vandalism
9586,2013-06-29 00:00:00,1600 Block Pearl St,Trespassing
9587,2013-06-28 00:00:00,2900 Block E Aurora Ave,Vandalism
9588,2013-06-28 00:00:00,3000 Block Noble Ct,Burglary
9589,2013-06-28 00:00:00,1400 Block Pearl St,Trespassing
9590,2013-06-28 00:00:00,900 Block Pearl St,Trespassing
9591,2013-06-30 00:00:00,1800 Block 15th St,Trespassing
9592,2017-08-09 00:00:00,9th St & Canyon Bv,Trespassing
9593,2013-06-28 00:00:00,1300 Block Pearl St,Incident
9594,2013-07-02 00:00:00,Foothills Pkwy & Table Mesa Dr,Vandalism
9595,2013-07-03 00:00:00,1300 Block Walnut St,Robbery
9596,2013-07-03 00:00:00,1600 Block 29th St,Theft From Vehicle
9597,2013-07-03 00:00:00,1600 Block 22nd St,Vandalism
9598,2013-07-10 00:00:00,1900 Block 11th St,Robbery
9599,2013-07-03 00:00:00,3100 Block 34th St,Theft From Vehicle
9600,2013-07-03 00:00:00,800 Block 28th St,Vandalism
9601,2013-07-03 00:00:00,800 Block Dewey Ave,Burglary
9602,2013-07-13 00:00:00,14th St & Euclid Ave,Vandalism
9603,2013-07-12 00:00:00,12th St & Pleasant St,Vandalism
9604,2013-07-14 00:00:00,28th St & Canyon Bv,Vandalism
9605,2013-07-14 00:00:00,500 Block Harvard Ln,Burglary
9606,2013-07-14 00:00:00,4600 Block Broadway,Auto Theft
9607,2013-07-13 00:00:00,3400 Block Broadway,Trespassing
9608,2013-07-02 00:00:00,400 Block Mapleton Ave,Burglary
9609,2013-07-01 00:00:00,3100 Block 34th St,Burglary
9610,2013-07-05 00:00:00,3300 Block Moorhead Ave,Burglary
9611,2013-07-07 00:00:00,1600 Block 16th St,Trespassing
9612,2013-07-05 00:00:00,4200 Block Monroe Dr,Theft From Vehicle
9613,2013-07-05 00:00:00,1400 Block Kendall Dr,Trespassing
9614,2013-07-05 00:00:00,2500 Block Pearl St,Trespassing
9615,2013-07-06 00:00:00,15th St & Canyon Bv,Vandalism
9616,2013-07-05 00:00:00,1100 Block Pleasant St,Incident
9617,2013-07-05 00:00:00,1200 Block Pearl St,Trespassing
9618,2013-11-01 00:00:00,1300 Block High St,Burglary
9619,2013-11-12 00:00:00,2900 Block E College Ave,Vandalism
9620,2013-11-02 00:00:00,1100 Block University Ave,Burglary
9621,2013-11-01 00:00:00,1400 Block Lee Hill Dr,Burglary
9622,2013-11-02 00:00:00,1200 Block 17th St,Trespassing
9623,2013-11-02 00:00:00,1200 Block Walnut St,Theft From Vehicle
9624,2013-11-01 00:00:00,1500 Block 30th St,Vandalism
9625,2013-11-01 00:00:00,3000 Block 29th St,Incident
9626,2013-11-02 00:00:00,500 Block 30th St,Vandalism
9627,2013-11-01 00:00:00,2700 Block Emerson Ave,Burglary
9628,2013-11-01 00:00:00,1300 Block 19th St,Burglary
9629,2013-11-02 00:00:00,900 Block Lincoln Pl,Vandalism
9630,2013-11-01 00:00:00,1900 Block 22nd St,Vandalism
9631,2013-11-01 00:00:00,1000 Block Canyon Blvd,Trespassing
9632,2013-11-01 00:00:00,3600 Block Hayden Pl,Trespassing
9633,2013-11-04 00:00:00,2900 Block Baseline Rd,Assault
9634,2013-11-04 00:00:00,4200 Block Monroe Dr,Burglary
9635,2013-11-04 00:00:00,2800 Block Baseline Rd,Vandalism
9636,2013-11-04 00:00:00,2600 Block Mapleton Ave,Vandalism
9637,2013-11-11 00:00:00,1000 Block Canyon Blvd,Recovery
9638,2013-11-11 00:00:00,1600 Block Hawthorne Pl,Theft From Vehicle
9639,2013-11-11 00:00:00,1700 Block Columbine Ave,Auto Theft
9640,2013-11-11 00:00:00,2400 Block 20th St,Burglary
9641,2013-11-11 00:00:00,11th St & University Ave,Assault
9642,2013-11-10 00:00:00,1300 Block College Ave,Vandalism
9643,2013-11-11 00:00:00,1500 Block Columbine Ave,Theft From Vehicle
9644,2013-11-11 00:00:00,4500 Block 19th St,Theft From Vehicle
9645,2013-11-11 00:00:00,1900 Block Grove St,Theft From Vehicle
9646,2013-11-19 00:00:00,3300 Block 28th St,Robbery
9647,2013-11-17 00:00:00,1400 Block Spruce St,Theft From Vehicle
9648,2013-11-21 00:00:00,1000 Block Walnut St,Trespassing
9649,2013-11-24 00:00:00,2900 Block E College Ave,Burglary
9650,2013-11-05 00:00:00,3100 Block 4th St,Burglary
9651,2013-11-05 00:00:00,4800 Block Meredith Way,Vandalism
9652,2013-11-05 00:00:00,1500 Block Greenbriar Blvd,Vandalism
9653,2013-11-05 00:00:00,5400 Block Arapahoe Ave,Burglary
9654,2013-11-05 00:00:00,2800 Block Baseline Rd,Trespassing
9655,2013-11-05 00:00:00,1400 Block Pine St,Trespassing
9656,2013-11-05 00:00:00,1200 Block College Ave,Vandalism
9657,2013-11-12 00:00:00,2400 Block 10th St,Burglary
9658,2013-11-03 00:00:00,200 Block Spruce St,Burglary
9659,2013-11-06 00:00:00,2500 Block Walnut St,Burglary
9660,2013-11-07 00:00:00,1200 Block Folsom St,Vandalism
9661,2013-11-06 00:00:00,1700 Block Aurora Ave,Vandalism
9662,2013-11-06 00:00:00,1400 Block Spruce St,Sex Assault
9663,2013-11-06 00:00:00,1600 Block Balsam Ave,Burglary
9664,2013-11-06 00:00:00,3000 Block Madison Ave,Theft From Vehicle
9665,2013-11-06 00:00:00,2500 Block 30th St,Burglary
9666,2013-11-07 00:00:00,900 Block Lincoln Pl,Vandalism
9667,2013-11-12 00:00:00,1200 Block College Ave,Vandalism
9668,2013-11-12 00:00:00,800 Block Mohawk Dr,Theft From Vehicle
9669,2013-11-12 00:00:00,1500 Block Broadway,Recovery
9670,2013-11-12 00:00:00,4500 Block 19th St,Burglary
9671,2013-11-12 00:00:00,10th St & Pennsylvania Ave,Vandalism
9672,2013-11-12 00:00:00,2600 Block Taft Dr,Vandalism
9673,2013-11-12 00:00:00,2500 Block Taft Dr,Vandalism
9674,2013-11-12 00:00:00,30th St & Walnut St,Vandalism
9675,2013-11-13 00:00:00,1100 Block Balsam Ave,Incident
9676,2013-09-20 00:00:00,1800 Block 9th St,Incident
9677,2013-11-12 00:00:00,900 Block 10th St,Vandalism
9678,2013-11-01 00:00:00,2500 Block Baseline Rd,Trespassing
9679,2013-11-21 00:00:00,900 Block 9th St,Vandalism
9680,2013-11-21 00:00:00,900 Block 10th St,Vandalism
9681,2013-11-13 00:00:00,1000 Block University Ave,Theft From Vehicle
9682,2013-11-13 00:00:00,900 Block Baseline Rd,Vandalism
9683,2014-03-21 00:00:00,3600 Block Hayden Pl,Vandalism
9684,2014-03-22 00:00:00,1400 Block Spruce St,Trespassing
9685,2014-03-21 00:00:00,800 Block 19th St,Incident
9686,2014-03-21 00:00:00,2800 Block Springdale Ln,Incident
9687,2014-03-21 00:00:00,1600 Block 17th St,Theft From Vehicle
9688,2014-03-23 00:00:00,1200 Block College Ave,Trespassing
9689,2014-03-22 00:00:00,100 Block Mineola Ct,Burglary
9690,2014-03-18 00:00:00,1000 Block Canyon Blvd,Trespassing
9691,2014-03-18 00:00:00,900 Block 28th St,Incident
9692,2014-03-18 00:00:00,1000 Block Canyon Blvd,Trespassing
9693,2014-03-18 00:00:00,1000 Block Pine St,Burglary
9694,2014-03-22 00:00:00,1700 Block 29th St,Vandalism
9695,2014-03-24 00:00:00,900 Block 28th St,Trespassing
9696,2014-01-05 00:00:00,1500 Block Pearl St,Trespassing
9697,2014-04-02 00:00:00,3200 Block Arapahoe Ave,Vandalism
9698,2014-04-02 00:00:00,1300 Block Redwood Ave,Burglary
9699,2014-04-03 00:00:00,4700 Block Baseline Rd,Auto Theft
9700,2014-04-03 00:00:00,1000 Block 14th St,Burglary
9701,2014-04-03 00:00:00,1300 Block Broadway,Vandalism
9702,2014-04-10 00:00:00,600 Block University Ave,Vandalism
9703,2014-04-10 00:00:00,1700 Block Pearl St,Vandalism
9704,2014-04-10 00:00:00,1200 Block College Ave,Vandalism
9705,2014-04-10 00:00:00,2700 Block Moorhead Ave,Vandalism
9706,2014-04-10 00:00:00,1200 Block Canyon Blvd,Trespassing
9707,2014-04-10 00:00:00,3300 Block Madison Ave,Vandalism
9708,2017-11-27 00:00:00,2500 Block Taft Dr,Burglary
9709,2014-04-10 00:00:00,1000 Block Walnut St,Trespassing
9710,2014-04-10 00:00:00,2600 Block Mapleton Ave,Sex Assault
9711,2014-04-10 00:00:00,700 Block Mohawk Dr,Theft From Vehicle
9712,2014-04-10 00:00:00,5400 Block Arapahoe Ave,Vandalism
9713,2014-03-21 00:00:00,4900 Block Moorhead Ave,Burglary
9714,2014-03-23 00:00:00,4500 Block 19th St,Burglary
9715,2014-03-22 00:00:00,1400 Block Spruce St,Trespassing
9716,2014-03-26 00:00:00,4800 Block Broadway,Sex Assault
9717,2014-04-07 00:00:00,3000 Block 28th St,Trespassing
9718,2014-04-08 00:00:00,2700 Block Arapahoe Ave,Vandalism
9719,2014-04-08 00:00:00,Pima Ct & Thunderbird Dr,Vandalism
9720,2014-04-16 00:00:00,2800 Block E Aurora Ave,Assault
9721,2014-04-15 00:00:00,3000 Block Valmont Rd,Vandalism
9722,2014-03-24 00:00:00,1000 Block Marine St,Theft From Vehicle
9723,2014-03-24 00:00:00,3100 Block Pearl Pkwy,Burglary
9724,2014-03-25 00:00:00,3300 Block Eastman Ave,Vandalism
9725,2014-03-25 00:00:00,Broadway & Lawry Ln,Vandalism
9726,2014-03-25 00:00:00,2000 Block Walnut St,Trespassing
9727,2014-03-25 00:00:00,6400 Block Lookout Rd,Theft From Vehicle
9728,2014-03-25 00:00:00,4900 Block Moorhead Ave,Burglary
9729,2014-03-25 00:00:00,4500 Block 19th St,Assault
9730,2014-03-27 00:00:00,1200 Block Pine St,Trespassing
9731,2014-03-27 00:00:00,1000 Block 12th St,Trespassing
9732,2014-03-27 00:00:00,2000 Block Broadway,Vandalism
9733,2014-03-27 00:00:00,4600 Block 15th St,Burglary
9734,2014-03-31 00:00:00,1800 Block 28th St,Incident
9735,2014-03-30 00:00:00,1000 Block 12th St,Theft From Vehicle
9736,2014-03-26 00:00:00,4700 Block Broadway,Trespassing
9737,2014-03-26 00:00:00,1800 Block 23rd St,Vandalism
9738,2014-03-27 00:00:00,500 Block Mohawk Dr,Burglary
9739,2014-03-29 00:00:00,700 Block 32nd St,Assault
9740,2014-03-28 00:00:00,600 Block North St,Burglary
9741,2014-03-30 00:00:00,4500 Block Broadway,Trespassing
9742,2014-03-30 00:00:00,4800 Block Meredith Way,Burglary
9743,2014-03-28 00:00:00,1300 Block Folsom St,Incident
9744,2014-03-28 00:00:00,6200 Block Spine Rd,Theft From Vehicle
9745,2014-03-30 00:00:00,1400 Block Walnut St,Trespassing
9746,2014-03-29 00:00:00,1000 Block Pearl St,Trespassing
9747,2014-03-30 00:00:00,2900 Block 30th St,Theft From Vehicle
9748,2014-08-25 00:00:00,6300 Block Gunpark Dr,Burglary
9749,2014-08-26 00:00:00,4200 Block Monroe Dr,Incident
9750,2014-08-25 00:00:00,1000 Block 13th St,Assault
9751,2014-08-28 00:00:00,9th St & Marine St,Assault
9752,2014-08-27 00:00:00,1000 Block Grandview Ave,Burglary
9753,2014-08-27 00:00:00,1000 Block Pearl St,Vandalism
9754,2014-09-01 00:00:00,3000 Block 7th St,Theft From Vehicle
9755,2014-09-01 00:00:00,2400 Block Baseline Rd,Vandalism
9756,2014-09-01 00:00:00,14th St & Canyon Bv,Vandalism
9757,2014-09-01 00:00:00,300 Block Evergreen Ave,Vandalism
9758,2014-09-01 00:00:00,4500 Block Broadway,Theft From Vehicle
9759,2014-09-01 00:00:00,400 Block Harvard Ln,Theft From Vehicle
9760,2014-09-01 00:00:00,1600 Block 30th St,Vandalism
9761,2014-09-01 00:00:00,13th St & Euclid Ave,Incident
9762,2014-09-01 00:00:00,1100 Block College Ave,Sex Assault
9763,2014-09-01 00:00:00,1300 Block 30th St,Burglary
9764,2014-08-30 00:00:00,2000 Block Pearl St,Burglary
9765,2014-08-31 00:00:00,2100 Block W Goss Cir,Burglary
9766,2014-09-03 00:00:00,1900 Block 28th St,Trespassing
9767,2014-09-03 00:00:00,1200 Block Hawthorn Ave,Trespassing
9768,2014-09-03 00:00:00,3500 Block Berkeley Ave,Trespassing
9769,2014-09-03 00:00:00,3600 Block Broadway,Incident
9770,2014-09-03 00:00:00,2400 Block Arapahoe Ave,Trespassing
9771,2014-08-29 00:00:00,2900 Block Baseline Rd,Burglary
9772,2014-09-11 00:00:00,1100 Block Lincoln Pl,Vandalism
9773,2014-09-11 00:00:00,1600 Block Mariposa Ave,Vandalism
9774,2014-09-05 00:00:00,2500 Block Arapahoe Ave,Vandalism
9775,2014-08-28 00:00:00,1100 Block University Ave,Assault
9776,2014-09-02 00:00:00,500 Block 30th St,Vandalism
9777,2014-09-04 00:00:00,1300 Block Broadway,Trespassing
9778,2014-09-04 00:00:00,3000 Block Edison Ct,Trespassing
9779,2014-09-04 00:00:00,900 Block 18th St,Theft From Vehicle
9780,2014-09-04 00:00:00,4800 Block Broadway,Theft From Vehicle
9781,2014-09-05 00:00:00,1000 Block E Moorhead Cir,Vandalism
9782,2014-09-05 00:00:00,2000 Block Broadway,Trespassing
9783,2014-09-05 00:00:00,1200 Block 11th St,Assault
9784,2014-09-05 00:00:00,13th St & Walnut St,Recovery
9785,2014-09-05 00:00:00,3900 Block Pinon Dr,Trespassing
9786,2014-09-06 00:00:00,1600 Block Arapahoe Ave,Indecent Exposure
9787,2014-09-06 00:00:00,11th St & Spruce St,Trespassing
9788,2014-09-07 00:00:00,1000 Block Adams Cir,Sex Assault
9789,2014-09-07 00:00:00,1700 Block Gillaspie Dr,Burglary
9790,2014-09-07 00:00:00,900 Block Walnut St,Sex Assault
9791,2014-09-05 00:00:00,1700 Block Yarmouth Ave,Vandalism
9792,2014-09-05 00:00:00,1700 Block Aurora Ave,Theft From Vehicle
9793,2014-09-05 00:00:00,5100 Block Santa Clara Pl,Vandalism
9794,2014-09-05 00:00:00,3400 Block Eastman Ave,Burglary
9795,2014-09-05 00:00:00,700 Block 18th St,Theft From Vehicle
9796,2014-09-05 00:00:00,900 Block 10th St,Burglary
9797,2014-09-14 00:00:00,Cottage Ln & Utica Ave,Vandalism
9798,2014-09-12 00:00:00,300 Block Evergreen Ave,Vandalism
9799,2014-09-18 00:00:00,200 Block Canyon Blvd,Vandalism
9800,2014-09-18 00:00:00,3100 Block 34th St,Sex Assault
9801,2014-09-18 00:00:00,600 Block Marine St,Sex Assault
9802,2014-09-18 00:00:00,1400 Block Walnut St,Trespassing
9803,2014-09-18 00:00:00,100 Block Canyon Blvd,Trespassing
9804,2014-09-18 00:00:00,2200 Block Norwood Ave,Incident
9805,2014-08-30 00:00:00,1100 Block 13th St,Vandalism
9806,2014-08-31 00:00:00,1100 Block Lincoln Pl,Burglary
9807,2014-08-30 00:00:00,1100 Block 12th St,Vandalism
9808,2014-08-29 00:00:00,2900 Block Glenwood Dr,Auto Theft
9809,2014-08-29 00:00:00,1000 Block 13th St,Vandalism
9810,2014-08-31 00:00:00,900 Block Pennsylvania Ave,Vandalism
9811,2014-08-31 00:00:00,1200 Block Pearl St,Vandalism
9812,2014-08-31 00:00:00,1200 Block Euclid Ave,Vandalism
9813,2013-07-05 00:00:00,1100 Block Euclid Ave,Vandalism
9814,2013-07-05 00:00:00,600 Block Moorhead Ave,Trespassing
9815,2013-07-07 00:00:00,1000 Block Adams Cir,Burglary
9816,2013-07-06 00:00:00,1700 Block 13th St,Burglary
9817,2013-07-06 00:00:00,1800 Block Range St,Burglary
9818,2013-07-10 00:00:00,3100 Block 5th St,Incident
9819,2013-05-23 00:00:00,28th St & Broadway,Indecent Exposure
9820,2013-07-10 00:00:00,1600 Block Arapahoe Ave,Burglary
9821,2013-07-10 00:00:00,3000 Block Colorado Ave,Theft From Vehicle
9822,2013-07-11 00:00:00,Edgewood Dr & Nicholl St,Auto Theft
9823,2013-07-10 00:00:00,2700 Block Moorhead Ave,Vandalism
9824,2013-07-12 00:00:00,1200 Block Canyon Blvd,Trespassing
9825,2013-07-12 00:00:00,1900 Block Broadway,Trespassing
9826,2013-07-12 00:00:00,1900 Block Broadway,Trespassing
9827,2013-07-13 00:00:00,11th St & Walnut St,Trespassing
9828,2013-07-12 00:00:00,11th St & Pennsylvania Ave,Vandalism
9829,2013-07-14 00:00:00,900 Block Pearl St,Vandalism
9830,2013-07-14 00:00:00,1400 Block Spruce St,Theft From Vehicle
9831,2013-07-04 00:00:00,Benthaven Pl & Snowmass Ct,Incident
9832,2013-07-04 00:00:00,00 Block Pawnee Dr,Burglary
9833,2013-07-04 00:00:00,1000 Block Adams Cir,Vandalism
9834,2013-07-05 00:00:00,1100 Block Lawry Ln,Sex Assault
9835,2013-07-05 00:00:00,15th St & Pearl St,Assault
9836,2013-07-08 00:00:00,2900 Block Valmont Rd,Trespassing
9837,2013-07-05 00:00:00,1000 Block 14th St,Vandalism
9838,2013-07-05 00:00:00,17th St & Arapahoe Ave,Theft From Vehicle
9839,2013-07-08 00:00:00,2200 Block Baseline Rd,Vandalism
9840,2013-07-09 00:00:00,800 Block 18th St,Vandalism
9841,2013-07-09 00:00:00,2500 Block Arapahoe Ave,Burglary
9842,2013-07-09 00:00:00,200 Block Kiowa Pl,Theft From Vehicle
9843,2013-07-09 00:00:00,2100 Block Baseline Rd,Burglary
9844,2013-06-04 00:00:00,1500 Block Broadway,Burglary
9845,2013-07-15 00:00:00,17th St & Walnut St,Assault
9846,2013-07-15 00:00:00,4800 Block Moorhead Ave,Burglary
9847,2013-07-15 00:00:00,5000 Block Butte St,Trespassing
9848,2013-07-15 00:00:00,1800 Block Table Mesa Dr,Sex Assault
9849,2013-07-16 00:00:00,47th St & Valmont Rd,Vandalism
9850,2013-07-01 00:00:00,5600 Block Arapahoe Ave,Burglary
9851,2013-07-10 00:00:00,1600 Block Grove St,Burglary
9852,2013-07-12 00:00:00,2500 Block Juniper Ave,Vandalism
9853,2013-07-12 00:00:00,3000 Block Center Green Dr,Vandalism
9854,2013-07-12 00:00:00,3300 Block 28th St,Theft From Vehicle
9855,2013-08-06 00:00:00,1000 Block 10th St,Vandalism
9856,2013-05-12 00:00:00,14th St & Walnut St,Theft From Vehicle
9857,2013-05-11 00:00:00,9th St & Walnut St,Theft From Vehicle
9858,2013-07-18 00:00:00,1100 Block Walnut St,Trespassing
9859,2013-07-18 00:00:00,900 Block Walnut St,Theft From Vehicle
9860,2013-07-18 00:00:00,9th St & Walnut St,Theft From Vehicle
9861,2013-07-18 00:00:00,1200 Block Pine St,Vandalism
9862,2013-07-18 00:00:00,2700 Block Glenwood Ct,Trespassing
9863,2013-05-29 00:00:00,13th St & Walnut St,Robbery
9864,2013-07-18 00:00:00,22nd St & Mariposa Ave,Vandalism
9865,2013-06-14 00:00:00,9th St & Canyon Bv,Robbery
9866,2013-08-06 00:00:00,19th St & Grove St,Burglary
9867,2013-07-22 00:00:00,4800 Block Baseline Rd,Vandalism
9868,2013-07-22 00:00:00,2900 Block Iris Ave,Theft From Vehicle
9869,2013-07-22 00:00:00,1600 Block Pearl St,Burglary
9870,2013-07-22 00:00:00,3500 Block Pearl Pkwy,Auto Theft
9871,2013-07-24 00:00:00,13th St & College Ave,Vandalism
9872,2013-07-24 00:00:00,1100 Block 12th St,Trespassing
9873,2013-07-24 00:00:00,1000 Block Alpine Ave,Theft From Vehicle
9874,2013-07-24 00:00:00,11th St & Walnut St,Theft From Vehicle
9875,2013-07-26 00:00:00,19th St & Violet Ave,Assault
9876,2013-07-28 00:00:00,Augusta Dr & Wild Dunes Ct,Vandalism
9877,2013-11-21 00:00:00,800 Block 17th St,Vandalism
9878,2013-11-13 00:00:00,1900 Block Canyon Blvd,Burglary
9879,2013-11-13 00:00:00,4500 Block 19th St,Auto Theft
9880,2013-11-14 00:00:00,9th St & Marine St,Vandalism
9881,2013-11-09 00:00:00,2500 Block Arapahoe Ave,Theft From Vehicle
9882,2013-11-15 00:00:00,1400 Block Walnut St,Assault
9883,2013-11-22 00:00:00,1100 Block Pearl St,Trespassing
9884,2013-11-23 00:00:00,600 Block Gillaspie Dr,Burglary
9885,2013-11-23 00:00:00,1100 Block 12th St,Vandalism
9886,2013-11-22 00:00:00,700 Block S 41st St,Theft From Vehicle
9887,2013-11-16 00:00:00,5300 Block S Boulder Rd,Incident
9888,2013-11-17 00:00:00,400 Block Canyon Blvd,Trespassing
9889,2013-11-16 00:00:00,200 Block S 40th St,Theft From Vehicle
9890,2013-11-15 00:00:00,1000 Block Pleasant St,Incident
9891,2013-11-17 00:00:00,700 Block 19th St,Burglary
9892,2013-11-16 00:00:00,Colby Dr & Ithaca Dr,Burglary
9893,2013-11-21 00:00:00,2100 Block Mesa Dr,Vandalism
9894,2013-11-16 00:00:00,12th St & College Ave,Vandalism
9895,2013-11-15 00:00:00,2700 Block 4th St,Vandalism
9896,2013-11-18 00:00:00,1000 Block 14th St,Burglary
9897,2013-11-18 00:00:00,1000 Block Hawthorne Ave,Vandalism
9898,2013-11-18 00:00:00,1400 Block Pearl St,Incident
9899,2013-11-18 00:00:00,2886 Block Bluff St,Incident
9900,2013-11-18 00:00:00,2300 Block Goss St,Burglary
9901,2013-11-18 00:00:00,1800 Block 19th St,Incident
9902,2013-11-21 00:00:00,2800 Block E College Ave,Vandalism
9903,2013-11-27 00:00:00,1100 Block Pearl St,Trespassing
9904,2013-11-27 00:00:00,3200 Block 30th St,Vandalism
9905,2013-11-18 00:00:00,800 Block Gillaspie Dr,Vandalism
9906,2013-11-19 00:00:00,2100 Block Mesa Dr,Trespassing
9907,2013-11-19 00:00:00,1400 Block Canyon Bv,Incident
