FID,REPORTDATE,BLOCKADD,OFFENSE
95,2017-09-22 00:00:00,2100 Block Spruce St,Vandalism
96,2017-12-05 00:00:00,3100 Block 34th St,Incident
97,2017-12-08 00:00:00,3700 Block Wonderland Hill Cir,Theft From Vehicle
98,2017-12-08 00:00:00,4600 Block Ingram Ct,Theft From Vehicle
99,2017-12-08 00:00:00,2500 Block Arapahoe Ave,Theft From Vehicle
100,2017-12-08 00:00:00,1100 Block Grandview Ave,Trespassing
101,2017-12-08 00:00:00,1900 Block 28th St,Theft From Vehicle
102,2017-12-08 00:00:00,1000 Block University Ave,Recovery
103,2017-12-08 00:00:00,900 Block 8th St,Auto Theft
104,2017-12-08 00:00:00,1100 Block Pearl St,Vandalism
105,2017-12-09 00:00:00,900 Block 28th St,Vandalism
106,2017-12-09 00:00:00,800 Block Broadway,Incident
107,2018-02-08 00:00:00,1800 Block 28th St,Trespassing
108,2017-12-12 00:00:00,1000 Block Utica Ave,Theft From Vehicle
109,2017-12-12 00:00:00,700 Block Utica Ave,Auto Theft
110,2017-12-12 00:00:00,500 Block Mohawk Dr,Burglary
111,2017-12-06 00:00:00,3200 Block Prairie Ave,Theft From Vehicle
112,2017-11-18 00:00:00,4700 Block Pearl St,Trespassing
113,2017-11-16 00:00:00,13th St & Arapahoe Ave,Trespassing
114,2017-11-23 00:00:00,2200 Block Canyon Bv,Sex Assault
115,2017-12-13 00:00:00,1000 Block 14th St,Burglary
116,2017-12-13 00:00:00,1000 Block Lee Hill Dr,Trespassing
117,2017-12-13 00:00:00,600 Block S Broadway,Theft From Vehicle
118,2017-12-13 00:00:00,900 Block 15th St,Theft From Vehicle
119,2017-12-13 00:00:00,6400 Block Odell Pl,Theft From Vehicle
120,2017-12-13 00:00:00,1100 Block College Ave,Vandalism
121,2017-12-14 00:00:00,1200 Block East Ridge Ave,Assault
122,2017-10-23 00:00:00,2800 Block Kalmia Ave,Vandalism
123,2017-10-23 00:00:00,2800 Block Shadow Creek Dr,Incident
124,2017-12-19 00:00:00,800 Block Gillaspie Dr,Burglary
125,2017-12-13 00:00:00,1200 Block Canyon Bv,Incident
126,2017-12-13 00:00:00,1800 Block Canyon Bv,Vandalism
127,2017-12-14 00:00:00,2800 Block Diagonal Hwy,Trespassing
128,2017-12-14 00:00:00,3300 Block 28th St,Trespassing
129,2017-12-18 00:00:00,2800 Block Baseline Rd,Sex Assault
130,2017-12-18 00:00:00,300 Block Erie Dr,Auto Theft
131,2017-12-18 00:00:00,1800 Block Bluebell Ave,Auto Theft
132,2017-12-18 00:00:00,200 Block Camden Pl,Theft From Vehicle
133,2017-12-18 00:00:00,1800 Block Mariposa Ave,Theft From Vehicle
134,2017-12-18 00:00:00,3000 Block 6th St,Theft From Vehicle
135,2017-12-19 00:00:00,1000 Block Grandview Ave,Burglary
136,2017-12-18 00:00:00,4200 Block Broadway,Theft From Vehicle
137,2017-12-19 00:00:00,900 Block Mohawk Dr,Burglary
138,2017-12-19 00:00:00,4800 Block 6th St,Burglary
139,2017-12-19 00:00:00,4500 Block 19th St,Vandalism
140,2017-12-19 00:00:00,500 Block Mohawk Dr,Burglary
141,2017-12-19 00:00:00,Foothills Pkwy & Table Mesa Dr,Theft From Vehicle
142,2017-12-19 00:00:00,1800 Block 28th St,Vandalism
143,2017-12-21 00:00:00,1600 Block 33rd St,Trespassing
144,2017-12-21 00:00:00,3100 Block Pearl Pkwy,Vandalism
145,2017-12-21 00:00:00,3000 Block Pearl Py,Assault
146,2017-12-21 00:00:00,15th St & Pearl St,Trespassing
147,2017-12-22 00:00:00,5000 Block Valmont Rd,Vandalism
148,2017-12-25 00:00:00,2600 Block Canyon Bv,Burglary
149,2017-12-25 00:00:00,1100 Block S Lashley Ln,Incident
150,2017-12-27 00:00:00,1400 Block Canyon Bv,Assault
151,2017-12-10 00:00:00,4900 Block Baseline Rd,Trespassing
152,2017-12-29 00:00:00,2500 Block Baseline Rd,Trespassing
153,2017-12-29 00:00:00,3600 Block Hazelwood Ct,Incident
154,2017-12-29 00:00:00,1100 Block Broadway,Auto Theft
155,2017-10-20 00:00:00,1400 Block Pearl St,Trespassing
156,2017-10-27 00:00:00,1100 Block Walnut St,Trespassing
157,2017-12-09 00:00:00,2700 Block Arapahoe Ave,Trespassing
158,2017-12-11 00:00:00,3300 Block 28th St,Trespassing
159,2017-12-14 00:00:00,1800 Block 30th St,Trespassing
160,2018-01-03 00:00:00,5700 Block Central Ave,Burglary
